Job Title,Total Cash Compensation,Base Pay,Overtime,Year,HourlyRate,Hours Worked Overtime,Stress Level,Job Title Encoded
Fire Captain,620986.55,180574.29,436373.06,2023,86.81456250000001,5026.49610196446,High Stress,26
Fire Captain,505127.13,180574.29,309358.34,2023,86.81456250000001,3563.4383344384187,High Stress,26
Police Lieutenant,457417.5,201148.0,218841.4,2023,96.70576923076923,2262.9611629248116,High Stress,57
Fire Engineer,453006.39,157370.85,291596.34,2023,75.6590625,3854.083441755573,High Stress,27
Fire Engineer,446067.98,157370.85,287852.25,2023,75.6590625,3804.5971029577586,High Stress,27
Police Lieutenant,445685.01,201148.0,207108.91,2023,96.70576923076923,2141.6396523952512,High Stress,57
Police Lieutenant,431689.93,203351.2,183393.0,2023,97.765,1875.8553674627933,High Stress,57
Police Sergeant,419726.74,175562.4,214731.25,2023,84.405,2544.0584088620344,High Stress,61
Police Sergeant,409598.58,175562.4,204603.09,2023,84.405,2424.0636218233517,High Stress,61
Police Lieutenant,406268.05,203351.2,154179.28,2023,97.765,1577.0396358615046,High Stress,57
Police Lieutenant,405267.43,187241.6,182872.39,2023,90.02,2031.4640079982228,High Stress,57
Police Lieutenant,403019.53,182347.2,179159.39,2023,87.66692307692308,2043.6372546438881,High Stress,57
Police Officer,398629.34,151673.6,209976.75,2023,72.92,2879.549506308283,High Stress,58
Police Lieutenant,395497.06,182347.2,172691.5,2023,87.66692307692308,1969.8592575043651,High Stress,57
Police Sergeant,393080.32,175562.4,174830.16,2023,84.405,2071.3246845566023,High Stress,61
Police Lieutenant,387369.38,179690.4,177005.69,2023,86.38961538461538,2048.9232324041795,High Stress,57
Police Officer,382541.72,151673.6,201490.56,2023,72.92,2763.1727921009324,High Stress,58
Police Officer,381559.81,149497.6,204062.85,2023,71.87384615384616,2839.1808831713684,High Stress,58
Police Sergeant,379866.5,175562.4,161450.84,2023,84.405,1912.811326343226,High Stress,61
Police Officer,375822.7,151673.6,190305.26,2023,72.92,2609.7814042786617,High Stress,58
Police Officer,367501.51,151673.6,185886.19,2023,72.92,2549.1797860669226,High Stress,58
Police Sergeant,366507.2,175562.4,157669.87,2023,84.405,1868.0157573603458,High Stress,61
Police Officer,365084.03,151673.6,184098.63,2023,72.92,2524.6657981349426,High Stress,58
Police Sergeant,363964.73,175562.4,147442.61,2023,84.405,1746.8468692612994,High Stress,61
Police Lieutenant,363534.97,201148.0,124958.87,2023,96.70576923076923,1292.1552767116748,High Stress,57
Police Sergeant,363130.67,175562.4,153572.68,2023,84.405,1819.4737278597238,High Stress,61
Police Sergeant,362036.35,175562.4,148598.49,2023,84.405,1760.5413186422604,High Stress,61
Police Officer,361041.62,151673.6,179615.2,2023,72.92,2463.1815688425672,High Stress,58
Police Sergeant,358605.3,175562.4,153444.31,2023,84.405,1817.9528463953557,High Stress,61
Police Sergeant,356957.75,175562.4,142431.93,2023,84.405,1687.4821396836678,High Stress,61
Fire Fighter,356086.36,140865.67,191600.89,2023,67.72387980769231,2829.148160797446,High Stress,28
Police Officer,354201.15,151673.6,172763.8,2023,72.92,2369.223806911684,High Stress,58
Police Officer,353651.85,122349.6,210520.55,2023,58.82192307692308,3578.947082785722,High Stress,58
